Region,Department,Employment_type,Age,UserLanguage,is_synthetic,RespondentID
Friesland,Marketing,3-10 year,25-35,NL,1,3b3ebe5d
Gelderland,HR,10-20 year,<25,NL,1,7fea1947
Friesland,Klantenservice,3-10 year,55+,NL,1,afc67ef1
Noord-Holland,Maintenance & Management,10-20 year,35-45,NL,1,fa50de94
Noord-Holland,Klantenservice,10-20 year,35-45,NL,1,40b7b474
Zeeland,Data & Analytics,<3 year,25-35,NL,1,29e741e8
Overijssel,Maintenance & Management,>20 year,25-35,NL,1,88dd32af
Gelderland,Supply Chain,<3 year,<25,NL,1,fd13749f
Zuid-Holland,ICT,3-10 year,35-45,NL,1,1567e21b
Gelderland,Sustainability,10-20 year,35-45,NL,1,0319de60
Noord-Holland,Research & Development,>20 year,45-55,NL,1,35eb1c6b
Zuid-Holland,Procurement,10-20 year,55+,NL,1,23bedcd8
Friesland,Strategy & Innovation,10-20 year,35-45,NL,1,d0464046
Gelderland,Communication,>20 year,25-35,NL,1,3d35d547
Drenthe,Klantenservice,10-20 year,55+,NL,1,ac2356d5
Overijssel,Finance,3-10 year,45-55,NL,1,0d7ed7eb
Noord-Holland,Projectmanagement,3-10 year,25-35,NL,1,77e3d47c
Zuid-Holland,Data & Analytics,3-10 year,55+,NL,1,809e3095
Noord-Holland,Quality & Safety,<3 year,35-45,NL,1,dd9d0cab
Gelderland,ICT,<3 year,25-35,NL,1,27bdfeb1
Noord-Holland,Communication,10-20 year,25-35,NL,1,81df7cd7
Zuid-Holland,Projectmanagement,<3 year,25-35,NL,1,fbdc5520
Friesland,Communication,<3 year,35-45,NL,1,2c445f62
Gelderland,Projectmanagement,<3 year,<25,NL,1,9d570ad1
Utrecht,Quality & Safety,<3 year,45-55,NL,1,1377b0ca
Limburg,Quality & Safety,<3 year,35-45,NL,1,0a951553
Zeeland,Sales,3-10 year,45-55,NL,1,1f56926e
Flevoland,Maintenance & Management,10-20 year,35-45,NL,1,df03f951
Limburg,HR,<3 year,55+,NL,1,bc647a5c
Noord-Holland,Maintenance & Management,3-10 year,35-45,NL,1,8bb11949
Zuid-Holland,Quality & Safety,>20 year,35-45,NL,1,0fc8b779
Drenthe,Data & Analytics,>20 year,45-55,NL,1,5f932940
Gelderland,Projectmanagement,3-10 year,45-55,NL,1,56abe750
Zeeland,Operations,3-10 year,35-45,NL,1,0813f12f
Overijssel,Research & Development,3-10 year,45-55,NL,1,99f0205a
Friesland,Strategy & Innovation,>20 year,45-55,NL,1,283fcb26
Zuid-Holland,Sustainability,<3 year,35-45,NL,1,f6bd4d70
Gelderland,Klantenservice,<3 year,45-55,NL,1,5865eb50
Utrecht,Operations,10-20 year,25-35,NL,1,745590b2
Drenthe,Quality & Safety,>20 year,55+,NL,1,3778f671
Gelderland,Sustainability,3-10 year,<25,NL,1,98bbf90d
Friesland,Data & Analytics,>20 year,<25,NL,1,71dc4407
Drenthe,Research & Development,<3 year,55+,NL,1,ce31b3b7
Gelderland,Strategy & Innovation,>20 year,<25,NL,1,c585847b
Gelderland,Quality & Safety,<3 year,25-35,NL,1,c9649cbf
Zeeland,Data & Analytics,10-20 year,<25,NL,1,0ec49f8c
Flevoland,Operations,10-20 year,25-35,NL,1,30ec291e
Flevoland,Maintenance & Management,10-20 year,45-55,NL,1,5182b314
Flevoland,Supply Chain,3-10 year,<25,NL,1,c62b0c5d
Overijssel,Operations,<3 year,<25,NL,1,83c68a66
Overijssel,Sustainability,3-10 year,35-45,NL,1,8403b24b
Limburg,Data & Analytics,10-20 year,<25,NL,1,468b18f3
Flevoland,Sustainability,<3 year,45-55,NL,1,6dd19515
Flevoland,Maintenance & Management,3-10 year,45-55,NL,1,afc0cd8c
Limburg,Finance,10-20 year,35-45,NL,1,d9cd3345
Flevoland,Maintenance & Management,10-20 year,<25,NL,1,7b9ba389
Drenthe,Sales,>20 year,45-55,NL,1,839cb45b
Drenthe,Supply Chain,10-20 year,25-35,NL,1,03a8be18
Zeeland,Strategy & Innovation,10-20 year,45-55,NL,1,c4b1fd5d
Limburg,Sustainability,<3 year,55+,NL,1,6d28132b
Noord-Holland,Data & Analytics,>20 year,25-35,NL,1,8bded934
Noord-Holland,Finance,<3 year,55+,NL,1,ed6f0655
Friesland,Finance,10-20 year,35-45,NL,1,032a0b2f
Utrecht,Procurement,3-10 year,55+,NL,1,0d4885f6
Friesland,Quality & Safety,10-20 year,55+,NL,1,b9811ec8
Flevoland,Klantenservice,>20 year,<25,NL,1,ab32eb80
Noord-Holland,Operations,10-20 year,25-35,NL,1,cfddb37d
Friesland,Finance,<3 year,<25,NL,1,174d994a
Zeeland,Quality & Safety,<3 year,45-55,NL,1,659d4434
Drenthe,Research & Development,3-10 year,45-55,NL,1,70f4dcde
Zuid-Holland,Sustainability,>20 year,55+,NL,1,52aed4dd
Gelderland,Projectmanagement,3-10 year,<25,NL,1,3f0011f7
Noord-Holland,Marketing,3-10 year,35-45,NL,1,9efa3273
Friesland,Sustainability,>20 year,25-35,NL,1,30e5f841
Drenthe,Projectmanagement,>20 year,35-45,NL,1,54df9fdd
Noord-Holland,HR,3-10 year,55+,NL,1,8b586cab
Flevoland,Supply Chain,3-10 year,45-55,NL,1,742f226a
Drenthe,Quality & Safety,<3 year,35-45,NL,1,a85ca3e4
Zeeland,Projectmanagement,>20 year,45-55,NL,1,067c3eef
Utrecht,Procurement,<3 year,55+,NL,1,ef15a38a
Friesland,Procurement,3-10 year,45-55,NL,1,cebe371e
Drenthe,ICT,3-10 year,<25,NL,1,8b1c6e09
Zuid-Holland,ICT,10-20 year,<25,NL,1,20b90aca
Limburg,Strategy & Innovation,3-10 year,45-55,NL,1,06b55456
Drenthe,Marketing,3-10 year,45-55,NL,1,2c2b8cde
Friesland,Data & Analytics,10-20 year,<25,NL,1,c5b416a6
Friesland,Maintenance & Management,<3 year,25-35,NL,1,96be4e2d
Friesland,ICT,>20 year,35-45,NL,1,e5ffe230
Flevoland,Operations,3-10 year,45-55,NL,1,4f0652f2
Limburg,Maintenance & Management,10-20 year,25-35,NL,1,df1fbb63
Limburg,Procurement,3-10 year,25-35,NL,1,e6f028b5
Flevoland,Klantenservice,>20 year,35-45,NL,1,8dde7f8a
Drenthe,Research & Development,3-10 year,55+,NL,1,d84d7697
Utrecht,Research & Development,10-20 year,<25,NL,1,a9c7ea7f
Gelderland,Supply Chain,>20 year,35-45,NL,1,e34229b4
Zeeland,Quality & Safety,>20 year,<25,NL,1,fb6afdce
Flevoland,Supply Chain,<3 year,55+,NL,1,102aa35b
Drenthe,Projectmanagement,10-20 year,55+,NL,1,ede1fcaa
Zuid-Holland,Klantenservice,3-10 year,25-35,NL,1,7525d993
Zeeland,HR,10-20 year,45-55,NL,1,43439970
Noord-Holland,Finance,<3 year,35-45,NL,1,ec8cdd96
Overijssel,HR,>20 year,55+,NL,1,4b73b75d
Limburg,HR,3-10 year,45-55,NL,1,b2deac44
Zeeland,Data & Analytics,>20 year,55+,NL,1,b96859ab
Overijssel,Operations,3-10 year,<25,NL,1,c9eb561d
Drenthe,Sustainability,<3 year,<25,NL,1,9e5710a5
Zuid-Holland,Maintenance & Management,>20 year,55+,NL,1,207500a9
Utrecht,Procurement,>20 year,35-45,NL,1,a28e2adf
Gelderland,Strategy & Innovation,10-20 year,<25,NL,1,6a284b3b
Utrecht,Supply Chain,3-10 year,45-55,NL,1,1dd61678
Zuid-Holland,ICT,>20 year,25-35,NL,1,021f120d
Zuid-Holland,Klantenservice,10-20 year,55+,NL,1,7086a315
Zeeland,Klantenservice,10-20 year,25-35,NL,1,903d6fe1
Overijssel,HR,>20 year,35-45,NL,1,5dddb68a
Utrecht,Communication,>20 year,45-55,NL,1,df4dbf54
Utrecht,Supply Chain,>20 year,<25,NL,1,83ddf707
Friesland,Marketing,3-10 year,55+,NL,1,dbe3ca80
Flevoland,Maintenance & Management,<3 year,35-45,NL,1,f21b260b
Gelderland,HR,10-20 year,45-55,NL,1,edf58d42
Overijssel,HR,<3 year,35-45,NL,1,366e7a7b
Zeeland,Supply Chain,3-10 year,<25,NL,1,09745e2c
Limburg,Maintenance & Management,3-10 year,35-45,NL,1,619862f9
Drenthe,Operations,>20 year,55+,NL,1,8cff12c1
Flevoland,Operations,3-10 year,55+,NL,1,18bd0d1d
Zuid-Holland,Procurement,>20 year,<25,NL,1,fd7414db
Overijssel,Finance,10-20 year,25-35,NL,1,514e454b
Zeeland,Sustainability,3-10 year,25-35,NL,1,619885fb
Overijssel,ICT,>20 year,<25,NL,1,8d267e10
Overijssel,Procurement,3-10 year,35-45,NL,1,8bb158be
Utrecht,ICT,3-10 year,45-55,NL,1,dff62a4a
Limburg,Strategy & Innovation,10-20 year,45-55,NL,1,68a831ac
Noord-Holland,Strategy & Innovation,>20 year,35-45,NL,1,85fea7f8
Gelderland,Communication,<3 year,25-35,NL,1,69c3b849
Noord-Holland,Projectmanagement,<3 year,<25,NL,1,7c0e9b53
Zeeland,Research & Development,>20 year,45-55,NL,1,4ef1636c
Gelderland,Finance,>20 year,25-35,NL,1,6827e3f4
Friesland,Sales,3-10 year,<25,NL,1,9c4809e5
Friesland,Operations,>20 year,45-55,NL,1,edc299de
Flevoland,Procurement,>20 year,45-55,NL,1,22b205de
Noord-Holland,Projectmanagement,>20 year,45-55,NL,1,13361bac
Flevoland,Research & Development,>20 year,25-35,NL,1,4a8d66d3
Zeeland,ICT,<3 year,<25,NL,1,8061bc55
Drenthe,Supply Chain,>20 year,35-45,NL,1,13bfbc3b
Flevoland,Operations,3-10 year,<25,NL,1,6d267aa1
Drenthe,Communication,<3 year,55+,NL,1,1c91666e
Overijssel,ICT,<3 year,45-55,NL,1,26ff34f4
Flevoland,Projectmanagement,10-20 year,<25,NL,1,409ef22c
Zeeland,Research & Development,3-10 year,45-55,NL,1,1a0989ea
Utrecht,Quality & Safety,<3 year,<25,NL,1,18fbbaf1
Drenthe,Communication,>20 year,35-45,NL,1,887d0761
Zeeland,Research & Development,3-10 year,55+,NL,1,49c33f58
Gelderland,Sustainability,<3 year,<25,NL,1,8f697524
Friesland,Supply Chain,<3 year,45-55,NL,1,62471434
Zeeland,Sales,>20 year,25-35,NL,1,f3307cfb
Overijssel,Strategy & Innovation,<3 year,<25,NL,1,574268a2
Zeeland,Procurement,3-10 year,<25,NL,1,e34b5ff0
Limburg,Sales,3-10 year,55+,NL,1,1af39ad6
Overijssel,Klantenservice,<3 year,<25,NL,1,c6f21c29
Drenthe,Quality & Safety,10-20 year,55+,NL,1,e196d5d8
Friesland,Maintenance & Management,<3 year,35-45,NL,1,bb75ddd8
Flevoland,Research & Development,3-10 year,25-35,NL,1,e2261e57
Gelderland,Strategy & Innovation,10-20 year,45-55,NL,1,429f18d0
Friesland,Quality & Safety,>20 year,<25,NL,1,ef4ef2e8
Zeeland,ICT,10-20 year,55+,NL,1,08810c3d
Limburg,Projectmanagement,10-20 year,45-55,NL,1,53c04672
Limburg,Research & Development,3-10 year,45-55,NL,1,dc032b01
Flevoland,Sales,3-10 year,45-55,NL,1,624047f2
Zuid-Holland,Sales,>20 year,45-55,NL,1,a3fe03bd
Zuid-Holland,Data & Analytics,>20 year,35-45,NL,1,73495946
Gelderland,Quality & Safety,3-10 year,35-45,NL,1,47385f12
Limburg,Projectmanagement,3-10 year,25-35,NL,1,25e1e094
Gelderland,Projectmanagement,<3 year,35-45,NL,1,f3cca8af
Overijssel,Finance,10-20 year,<25,NL,1,a9c67407
Gelderland,Data & Analytics,10-20 year,55+,NL,1,6060a2fd
Zeeland,Supply Chain,<3 year,25-35,NL,1,dadd2309
Noord-Holland,Marketing,>20 year,25-35,NL,1,738cb5db
Zuid-Holland,Klantenservice,10-20 year,25-35,NL,1,d33d36af
Overijssel,Sustainability,10-20 year,25-35,NL,1,645d8602
Flevoland,Supply Chain,>20 year,45-55,NL,1,68823fb6
Utrecht,Finance,3-10 year,55+,NL,1,fe29b0cd
Flevoland,Projectmanagement,<3 year,45-55,NL,1,ca743c1a
Zuid-Holland,Sustainability,10-20 year,35-45,NL,1,7a04f958
Zeeland,Operations,10-20 year,55+,NL,1,c6317dca
Utrecht,ICT,3-10 year,55+,NL,1,2a6f3632
Friesland,Marketing,10-20 year,55+,NL,1,ccb145d1
Limburg,Data & Analytics,<3 year,55+,NL,1,9362d0db
Noord-Holland,Communication,10-20 year,45-55,NL,1,4bf66eb3
Zuid-Holland,Projectmanagement,10-20 year,<25,NL,1,68ef78c8
Zeeland,Strategy & Innovation,3-10 year,<25,NL,1,9d1428f1
Drenthe,Strategy & Innovation,3-10 year,<25,NL,1,fbb42673
Drenthe,Strategy & Innovation,<3 year,25-35,NL,1,034dcff4
Drenthe,Operations,>20 year,45-55,NL,1,bbe43d4e
Limburg,Quality & Safety,<3 year,45-55,NL,1,7442c4b3
Zuid-Holland,Data & Analytics,3-10 year,45-55,NL,1,7ba1a0c8
Utrecht,Sustainability,>20 year,35-45,NL,1,2861b338
Zeeland,Quality & Safety,3-10 year,45-55,NL,1,4de2f411
Gelderland,Procurement,3-10 year,45-55,NL,1,b9b66c22
Flevoland,ICT,<3 year,35-45,NL,1,10cd212b
Zeeland,Marketing,>20 year,55+,NL,1,6ffc6408
Gelderland,Procurement,<3 year,<25,NL,1,d1e70a2d
Noord-Holland,Research & Development,10-20 year,55+,NL,1,4137a2e4
Overijssel,Quality & Safety,<3 year,55+,NL,1,f05ceb32
Utrecht,Quality & Safety,<3 year,35-45,NL,1,403be23a
Drenthe,Quality & Safety,>20 year,35-45,NL,1,da407ba5
Noord-Holland,Sustainability,3-10 year,<25,NL,1,28f4d8e5
Overijssel,Operations,3-10 year,35-45,NL,1,56b399ee
Gelderland,Projectmanagement,>20 year,25-35,NL,1,d28e2336
Utrecht,Data & Analytics,>20 year,25-35,NL,1,7766c057
Overijssel,Operations,3-10 year,45-55,NL,1,3245d625
Zeeland,Research & Development,10-20 year,<25,NL,1,30d33ff1
Drenthe,Quality & Safety,3-10 year,55+,NL,1,6652d978
Overijssel,Quality & Safety,10-20 year,45-55,NL,1,7a2943d7
Friesland,Maintenance & Management,10-20 year,45-55,NL,1,c24c9a6b
Zeeland,Strategy & Innovation,10-20 year,25-35,NL,1,e6b58a9b
Utrecht,Klantenservice,>20 year,<25,NL,1,5343e971
Zeeland,Marketing,3-10 year,35-45,NL,1,a90e9c9e
Drenthe,Communication,3-10 year,45-55,NL,1,a57d897b
Flevoland,HR,3-10 year,<25,NL,1,d57aae0d
Gelderland,Operations,>20 year,45-55,NL,1,70220807
Overijssel,Operations,<3 year,55+,NL,1,d530f0f8
Zuid-Holland,Marketing,10-20 year,45-55,NL,1,266c8cd9
Utrecht,Quality & Safety,10-20 year,35-45,NL,1,26698c3d
Drenthe,Operations,10-20 year,25-35,NL,1,994d5ef1
Limburg,ICT,<3 year,35-45,NL,1,cb2a89e3
Zuid-Holland,Marketing,>20 year,<25,NL,1,c92fd517
Overijssel,Projectmanagement,<3 year,55+,NL,1,e7a30475
Utrecht,Marketing,<3 year,35-45,NL,1,eff13ee2
Friesland,Sustainability,10-20 year,55+,NL,1,bff8de00
Noord-Holland,Klantenservice,3-10 year,25-35,NL,1,4fbe17b9
Gelderland,Marketing,10-20 year,55+,NL,1,46f1914d
Gelderland,Sustainability,<3 year,25-35,NL,1,feedb9dc
Friesland,Communication,3-10 year,55+,NL,1,c5f850fb
Zeeland,Operations,3-10 year,<25,NL,1,054a5253
Utrecht,Maintenance & Management,>20 year,25-35,NL,1,526c1466
Noord-Holland,HR,<3 year,35-45,NL,1,eb5a0ebf
Zuid-Holland,Supply Chain,>20 year,55+,NL,1,f12fed7f
Friesland,Supply Chain,10-20 year,45-55,NL,1,13e365b9
Overijssel,Communication,>20 year,25-35,NL,1,12ece3b8
Utrecht,HR,>20 year,55+,NL,1,50f87212
Flevoland,Klantenservice,10-20 year,35-45,NL,1,86b6c9d5
Drenthe,Communication,>20 year,<25,NL,1,a3a17701
Utrecht,Sales,10-20 year,25-35,NL,1,36ff7853
Flevoland,ICT,10-20 year,<25,NL,1,8c8f968b
Limburg,Procurement,<3 year,55+,NL,1,34090d0f
Limburg,Operations,<3 year,45-55,NL,1,a2d7bbf8
Zeeland,Marketing,>20 year,25-35,NL,1,080044a9
Zeeland,Sales,3-10 year,25-35,NL,1,56cdefb9
Friesland,Sustainability,10-20 year,45-55,NL,1,0cfec270
Zuid-Holland,Sustainability,3-10 year,25-35,NL,1,94f2aa66
Zuid-Holland,Research & Development,>20 year,35-45,NL,1,66df4de0
Zuid-Holland,Strategy & Innovation,10-20 year,<25,NL,1,84cabe19
Friesland,Klantenservice,>20 year,<25,NL,1,e2732a81
Gelderland,Klantenservice,10-20 year,<25,NL,1,6de8661f
Drenthe,Operations,>20 year,<25,NL,1,b91ffacd
Limburg,ICT,10-20 year,<25,NL,1,f823bf9e
Utrecht,Data & Analytics,<3 year,55+,NL,1,4ebab606
Drenthe,Supply Chain,<3 year,<25,NL,1,4f66907e
Friesland,Klantenservice,>20 year,35-45,NL,1,d3a5d56f
Gelderland,ICT,>20 year,25-35,NL,1,b1b3024e
Zeeland,Strategy & Innovation,<3 year,35-45,NL,1,0bb1ee21
Zuid-Holland,Data & Analytics,10-20 year,45-55,NL,1,12Dec0263
Limburg,Klantenservice,>20 year,55+,NL,1,f3be4297
Friesland,HR,>20 year,<25,NL,1,848a34ea
Gelderland,Quality & Safety,>20 year,55+,NL,1,740b3da3
Zuid-Holland,Communication,3-10 year,55+,NL,1,06c705f6
Drenthe,Klantenservice,<3 year,<25,NL,1,41359fc8
Zuid-Holland,ICT,>20 year,45-55,NL,1,9782a156
Flevoland,Finance,3-10 year,35-45,NL,1,31a1671b
Flevoland,Sustainability,3-10 year,55+,NL,1,736a2a41
Drenthe,Strategy & Innovation,<3 year,55+,NL,1,0575f230
Noord-Holland,Supply Chain,3-10 year,25-35,NL,1,a2190c18
Limburg,Operations,<3 year,55+,NL,1,51963b37
Zeeland,Communication,10-20 year,<25,NL,1,2607ef1b
Drenthe,Marketing,<3 year,35-45,NL,1,6b37cbd8
Gelderland,Maintenance & Management,10-20 year,<25,NL,1,3ab89313
Gelderland,Sales,<3 year,55+,NL,1,1f8e0f27
Limburg,Operations,10-20 year,35-45,NL,1,b18c4a85
Zuid-Holland,Data & Analytics,10-20 year,55+,NL,1,bf94c256
Overijssel,Data & Analytics,>20 year,35-45,NL,1,262c0e98
Drenthe,Data & Analytics,10-20 year,45-55,NL,1,a5d27d7a
Noord-Holland,Strategy & Innovation,<3 year,35-45,NL,1,0f7fed4b
Overijssel,HR,3-10 year,25-35,NL,1,a8a9b03a
Flevoland,HR,<3 year,45-55,NL,1,17bb327e
Zeeland,Procurement,3-10 year,55+,NL,1,a2f9e4c1
Limburg,HR,>20 year,55+,NL,1,075a7ecc
Utrecht,Quality & Safety,3-10 year,<25,NL,1,35f07198
Utrecht,Communication,10-20 year,25-35,NL,1,b3372ec7
Zeeland,Sustainability,10-20 year,45-55,NL,1,7c522c22
Utrecht,Projectmanagement,<3 year,25-35,NL,1,fc3d8e63
Drenthe,ICT,<3 year,35-45,NL,1,ff0dda58
Zeeland,Klantenservice,3-10 year,45-55,NL,1,9c9c95ea
Friesland,ICT,>20 year,55+,NL,1,c5e09840
Zeeland,Communication,3-10 year,25-35,NL,1,663158c2
Overijssel,Projectmanagement,10-20 year,35-45,NL,1,b93391e3
Utrecht,HR,10-20 year,55+,NL,1,e2af7510
Friesland,Quality & Safety,<3 year,35-45,NL,1,b1867d6c
Limburg,Sustainability,<3 year,35-45,NL,1,a682318e
Limburg,Marketing,10-20 year,35-45,NL,1,6b3eaa70
Friesland,Quality & Safety,>20 year,45-55,NL,1,7932055d
Zuid-Holland,HR,3-10 year,25-35,NL,1,ccfbb2d6
Utrecht,HR,10-20 year,45-55,NL,1,d6df6db8
Overijssel,Data & Analytics,3-10 year,45-55,NL,1,bf01c9cd
Zuid-Holland,Strategy & Innovation,3-10 year,55+,NL,1,a70601e9
Drenthe,Supply Chain,>20 year,<25,NL,1,a40329b7
Flevoland,Procurement,>20 year,25-35,NL,1,7ca75945
Gelderland,Communication,<3 year,55+,NL,1,075281ca
Zuid-Holland,Communication,10-20 year,25-35,NL,1,d7cf38cc
Limburg,Communication,10-20 year,35-45,NL,1,5236808d
Gelderland,Data & Analytics,>20 year,45-55,NL,1,dfea2fef
Zeeland,Projectmanagement,3-10 year,<25,NL,1,f91014bf
Friesland,Operations,<3 year,<25,NL,1,835ab68e
Gelderland,Quality & Safety,<3 year,55+,NL,1,4874f49c
Limburg,Maintenance & Management,3-10 year,55+,NL,1,62daa6dd
Overijssel,Sustainability,3-10 year,<25,NL,1,a166dac1
Noord-Holland,ICT,3-10 year,45-55,NL,1,427969b0
Limburg,Strategy & Innovation,3-10 year,25-35,NL,1,a4e5c3e2
Overijssel,Sales,>20 year,55+,NL,1,ec5db008
Limburg,HR,10-20 year,25-35,NL,1,0e28a899
Overijssel,Quality & Safety,>20 year,25-35,NL,1,785286b7
Flevoland,HR,3-10 year,25-35,NL,1,00252dd4
Noord-Holland,Strategy & Innovation,3-10 year,55+,NL,1,aca57bd7
Utrecht,Procurement,3-10 year,25-35,NL,1,14e8ac4d
Noord-Holland,Klantenservice,10-20 year,<25,NL,1,7c957d4b
Noord-Holland,ICT,<3 year,45-55,NL,1,90b03467
Overijssel,Procurement,>20 year,<25,NL,1,160c926a
Friesland,Marketing,>20 year,45-55,NL,1,5bead731
Gelderland,Sustainability,>20 year,25-35,NL,1,a1cb8ecc
Limburg,Operations,3-10 year,55+,NL,1,dc9d615e
Overijssel,Communication,<3 year,45-55,NL,1,3395a998
Flevoland,Quality & Safety,10-20 year,25-35,NL,1,ab578e89
Zuid-Holland,ICT,10-20 year,55+,NL,1,55d28960
Zuid-Holland,Quality & Safety,3-10 year,55+,NL,1,58cc73fc
Zuid-Holland,Finance,3-10 year,45-55,NL,1,5abd8843
Gelderland,Data & Analytics,<3 year,55+,NL,1,11d88190
Friesland,HR,<3 year,45-55,NL,1,153f02fc
Friesland,Strategy & Innovation,<3 year,45-55,NL,1,87f84d55
Noord-Holland,Data & Analytics,>20 year,<25,NL,1,a22bdad7
Limburg,Projectmanagement,<3 year,25-35,NL,1,ff27ce5e
Noord-Holland,Finance,>20 year,25-35,NL,1,e86a2870
Zuid-Holland,ICT,3-10 year,<25,NL,1,11b71ac4
Limburg,Operations,10-20 year,25-35,NL,1,0a71d2c6
Utrecht,Supply Chain,>20 year,35-45,NL,1,630bf7b6
Utrecht,Klantenservice,10-20 year,25-35,NL,1,87aaf632
Zeeland,Klantenservice,10-20 year,35-45,NL,1,697b9c4b
Drenthe,Operations,>20 year,25-35,NL,1,f90edca8
Drenthe,Data & Analytics,<3 year,<25,NL,1,7.75E+70
Utrecht,Sales,3-10 year,<25,NL,1,1206d3d7
Friesland,Sustainability,10-20 year,25-35,NL,1,de1e9ed3
Friesland,Research & Development,<3 year,35-45,NL,1,e9d2bc7e
Flevoland,Sales,<3 year,35-45,NL,1,88d9bc17
Flevoland,Communication,10-20 year,25-35,NL,1,77f5bee2
Drenthe,Sustainability,10-20 year,<25,NL,1,08f4b2e6
Zeeland,Procurement,>20 year,25-35,NL,1,881ce683
Flevoland,Strategy & Innovation,>20 year,35-45,NL,1,e2f2be2c
Zeeland,Sales,<3 year,25-35,NL,1,c8c24f37
Utrecht,Marketing,3-10 year,45-55,NL,1,a2bd4fb6
Flevoland,Research & Development,>20 year,55+,NL,1,d8841d81
Utrecht,Finance,>20 year,55+,NL,1,fd78f1a8
Gelderland,Finance,>20 year,55+,NL,1,ce9fe492
Gelderland,HR,<3 year,45-55,NL,1,fcbdde66
Drenthe,Strategy & Innovation,<3 year,45-55,NL,1,9df07a54
Overijssel,Quality & Safety,10-20 year,<25,NL,1,ea65b406
Limburg,ICT,>20 year,25-35,NL,1,4420c3fc
Zeeland,Procurement,3-10 year,25-35,NL,1,21d60a03
Flevoland,Klantenservice,>20 year,45-55,NL,1,6b8f00a4
Overijssel,Research & Development,>20 year,45-55,NL,1,08885d8d
Gelderland,Quality & Safety,10-20 year,45-55,NL,1,03ee45b2
Gelderland,Data & Analytics,<3 year,25-35,NL,1,08be03e9
Drenthe,Strategy & Innovation,>20 year,35-45,NL,1,088cad39
Noord-Holland,Marketing,<3 year,45-55,NL,1,efb8cbbb
Drenthe,Strategy & Innovation,>20 year,<25,NL,1,910bac4c
Flevoland,Procurement,10-20 year,25-35,NL,1,072bff21
Gelderland,Finance,10-20 year,<25,NL,1,38d74663
Gelderland,Supply Chain,10-20 year,25-35,NL,1,b2a8968c
Flevoland,HR,<3 year,35-45,NL,1,3cfaaf19
Utrecht,Operations,3-10 year,<25,NL,1,e19606d9
Gelderland,Communication,>20 year,45-55,NL,1,d90b0a66
Flevoland,Sales,10-20 year,45-55,NL,1,06cfe62e
Limburg,Sales,10-20 year,<25,NL,1,1a8031a2
Utrecht,Sales,10-20 year,55+,NL,1,bf9752f5
Overijssel,Data & Analytics,<3 year,55+,NL,1,adf2de01
Friesland,Data & Analytics,3-10 year,<25,NL,1,08fd0c07
Flevoland,Sustainability,10-20 year,55+,NL,1,f61fcf28
Limburg,Communication,10-20 year,55+,NL,1,9ae0f41d
Gelderland,Research & Development,3-10 year,55+,NL,1,7b5a14a0
Noord-Holland,Operations,10-20 year,<25,NL,1,4df0d2ec
Drenthe,Marketing,>20 year,<25,NL,1,433207df
Flevoland,Marketing,<3 year,<25,NL,1,f7074cba
Flevoland,Strategy & Innovation,3-10 year,25-35,NL,1,4be5494a
Overijssel,Projectmanagement,10-20 year,<25,NL,1,70da661f
Zuid-Holland,Projectmanagement,>20 year,35-45,NL,1,c659589c
Limburg,Research & Development,<3 year,55+,NL,1,32f7bbc2
Noord-Holland,Supply Chain,10-20 year,25-35,NL,1,cc40a127
Drenthe,ICT,>20 year,35-45,NL,1,91cd14d5
Noord-Holland,Maintenance & Management,10-20 year,25-35,NL,1,5211d8f9
Friesland,Operations,10-20 year,<25,NL,1,2f08a93d
Utrecht,Finance,10-20 year,25-35,NL,1,624420db
Utrecht,Maintenance & Management,10-20 year,55+,NL,1,32724e4c
Flevoland,Projectmanagement,>20 year,<25,NL,1,e7d8ddfc
Friesland,Strategy & Innovation,10-20 year,55+,NL,1,ec6130e9
Zeeland,Quality & Safety,3-10 year,<25,NL,1,0bc8e71d
Noord-Holland,Klantenservice,10-20 year,25-35,NL,1,321cc45a
Drenthe,Quality & Safety,3-10 year,45-55,NL,1,d177ceee
Noord-Holland,Finance,>20 year,55+,NL,1,f32315e4
Noord-Holland,Research & Development,>20 year,35-45,NL,1,315c42fc
Gelderland,Finance,10-20 year,45-55,NL,1,f7bdae09
Limburg,Maintenance & Management,<3 year,45-55,NL,1,6ff2d76f
Drenthe,Sales,<3 year,35-45,NL,1,c49a6e0a
Overijssel,Strategy & Innovation,>20 year,35-45,NL,1,1cb65469
Limburg,Supply Chain,10-20 year,45-55,NL,1,868fccde
Zeeland,Data & Analytics,3-10 year,45-55,NL,1,77932337
Limburg,ICT,<3 year,<25,NL,1,6f7556e6
Friesland,Sales,<3 year,45-55,NL,1,29f6479f
Drenthe,Sales,10-20 year,<25,NL,1,26e8b72e
Gelderland,Procurement,>20 year,<25,NL,1,dc41a330
Limburg,Quality & Safety,3-10 year,45-55,NL,1,df062623
Friesland,Sales,<3 year,25-35,NL,1,cae2630b
Flevoland,HR,3-10 year,35-45,NL,1,f93ea8f8
Friesland,ICT,<3 year,<25,NL,1,5a8788af
Flevoland,Procurement,10-20 year,<25,NL,1,9d6a968e
Friesland,Supply Chain,3-10 year,45-55,NL,1,b7b8602e
Utrecht,Sales,>20 year,25-35,NL,1,497aab14
Zuid-Holland,Quality & Safety,3-10 year,35-45,NL,1,362f145f
